nama_lengkap,file_foto
"Prof. Ir. Lukito Edi Nugroho, M.Sc., Ph.D.",h_lukito.png
"Ir. Agus Bejo, S.T., M.Eng., D.Eng., IPM.",h_agus.png
"Prof. Dr. Ir. Sri Suning Kusumawardani, S.T., M.T.",h_sri.png
"Dr. Indriana Hidayah, S.T., M.T.",h_indriana.png
"Ir. Adhistya Erna Permanasari, S.T., M.T., Ph.D.",h_adhistya.png
"Prof. Ir. P. Insap Santosa, M.Sc., Ph.D., IPU.",h_insap.png
"M. Nur Rizal, S.T., M.Eng., Ph.D.",h_rizal.png
"Teguh Bharata Adji, S.T., M.T., M.Eng., Ph.D.",h_teguh.png
"Dr.Eng. Silmi Fauziati, S.T., M.T.",h_silmi.png
"Prof. Dr. Ir. Ridi Ferdiana, S.T., M.T., IPM.",h_ridi.png
"Prof. Ir. Selo, S.T., M.T., M.Sc., Ph.D., IPU, ASEAN Eng.",h_selo.png
"Dr. Warsun Najib, S.T., M.Sc.",h_warsun.png
"Dani Adhipta, S.Si., M.T.",h_dani.png
"Ir. Prapto Nugroho, S.T., M.Eng., D.Eng., IPM.",h_prapto.png
"Dr. I Wayan Mustika, S.T., M.Eng.",h_wayan.png
"Azkario Rizky Pratama, S.T., M.Eng., Ph.D.",h_azka.png
"Dr. Ir. Rudy Hartanto, M.T., IPM.",h_rudy.png
"Widyawan, S.T., M.Sc., Ph.D.",h_widyawan.png
"Dr.Eng. Ir. Sunu Wibirama, S.T., M.Eng., IPM.",h_sunu.png
"Dr. Guntur Dharma Putra, S.T., M.Sc.",h_guntur.png
"Syukron Abu Ishaq Alfarozi, S.T., Ph.D.",h_syukron.png
"Dr. Bimo Sunarfri Hantono, S.T., M.Eng.",h_bimo.png
"Ir. Noor Akhmad Setiawan, S.T., M.T., Ph.D., IPM.",h_noor.png
"Dr. Ahmad Nasikun, S.T., M.Sc.",h_nasikun.png